GEOID_place,place_name,GEOID_county,county_name,total_pop.place,total_moe.place,age_pop.place,age_moe.place,white_perc.place,white_moe.place,aa_perc.place,aa_moe.place,hisp_perc.place,hisp_moe.place,total_pop.county,total_moe.county,age_pop.county,age_moe.county,white_perc.county,white_moe.county,aa_perc.county,aa_moe.county,hisp_perc.county,hisp_moe.county,total_pop_log.place,pop_density.place,pop_density_log.place,total_pop_log.county,pop_density.county,pop_density_log.county
3737760,"Lenoir city, North Carolina",37027,Caldwell,17890,50,43,3.1,77.9,3.4,10.2,2.3,9.4,2.2,81805,NA,44.1,0.3,87.9,0.1,4.9,0.3,5.1,NA,9.791997176502765,334.25341527179603,0.18295184452643,11.312093645417177,66.54973606614747,0.009202577427517353
3738320,"Lincolnton city, North Carolina",37109,Lincoln,10574,24,37.1,3.6,57.3,4.6,16.2,3.3,19.6,3.9,80504,NA,42.7,0.3,85.3,0.1,5.4,0.5,7,NA,9.266153436795395,470.67934145277115,0.41246330597987413,11.29606215161317,101.94845921295448,0.014305079642387137
3739700,"Lumberton city, North Carolina",37155,Robeson,21366,49,33.2,1.2,37.3,2,37.4,2.2,9.3,1.6,134187,NA,35.9,0.2,25.7,0.1,24.1,0.2,8.5,NA,9.969556152505833,458.9978787137061,0.21417228895054546,11.806989628484711,54.53777673049275,0.004798728373222016
3741420,"Marion city, North Carolina",37111,McDowell,7752,44,36.8,2.5,68.6,4.9,8.5,2.2,19,4.9,45069,NA,43.3,0.4,87.7,0.5,3.8,0.2,6,NA,8.955706153570603,519.6751162289478,0.6003686321296576,10.715949927730533,39.0731074483758,0.009290320684675276
3741620,"Mars Hill town, North Carolina",37115,Madison,2595,476,23.3,2.1,84.9,4.1,9.7,3.1,3.9,3.3,21347,NA,44.2,0.5,93.9,0.1,1.9,0.1,2.5,NA,7.861341795599989,503.6315009784214,1.5257107391993914,9.9686664935611,18.25561971705469,0.008525047294355013
3742100,"Maysville town, North Carolina",37103,Jones,970,175,34.2,6.4,54.2,9.5,38.8,9.6,5.7,4.8,9776,NA,45.5,0.5,62.2,0.1,30.5,1.2,4.5,NA,6.877296071497429,534.2205751548777,3.7876217142533375,9.187685681411377,7.968251399262672,0.007488726400050309
3743720,"Mocksville town, North Carolina",37059,Davie,5130,50,42.5,1.9,57.4,5.4,22.9,4.1,15.6,4.9,41766,NA,44.6,0.3,84.9,0.1,6.1,0.4,6.5,NA,8.542860938164814,259.8736001437554,0.4327610190113743,10.639837890396722,60.49826311733167,0.015411859220872862
3744220,"Mooresville town, North Carolina",37097,Iredell,36577,106,34.4,0.8,72.3,2.4,10.4,1.6,9.3,1.9,169798,NA,40.4,0.3,76.4,0.1,12.4,0.2,7.4,NA,10.507174906553255,636.5681753102065,0.1828617206968804,12.042364774227002,109.61719978118263,0.007774239421514491
3744320,"Morehead City town, North Carolina",37031,Carteret,9200,38,43.2,2.6,76.4,3.6,10.7,2.2,8.3,2.5,68699,NA,47.4,0.2,86.4,0.1,5.7,0.3,4.2,NA,9.126958763037132,362.697013013435,0.3598174653533004,11.137489922063743,19.937307915250944,0.003232238693127834
3744400,"Morganton city, North Carolina",37023,Burke,16478,33,43.9,2.1,69.6,3,7.7,1.5,19.2,2.4,88898,NA,43.6,0.3,82.3,0.1,6,0.3,5.9,NA,9.709781436875536,332.17441989071807,0.1957361946874496,11.395244924061078,66.74675244115818,0.008555823437565177
3744800,"Mount Airy city, North Carolina",37171,Surry,10198,71,46.3,2.5,79.9,3.1,8.2,2.3,9.6,2.3,72315,NA,43.4,0.3,84.4,0.1,3.7,0.2,10.2,NA,9.2299469016151,332.2772913393869,0.30073561047999925,11.188786855507832,51.92344171050812,0.008033745724998416
3745460,"Moyock CDP, North Carolina",37053,Currituck,3227,544,42.3,5.3,84.4,7.1,5.5,3.8,9,5.3,25247,NA,42.9,0.5,87.5,0.2,5.4,0.9,3.6,NA,8.079308192051961,118.37560547237533,0.296372171996304,10.136462615763627,18.51713274998117,0.007434476328724856
3746000,"Nashville town, North Carolina",37127,Nash,5473,19,50.2,3.9,54,8.4,43.2,8.8,0,0.6,94125,NA,41.4,0.3,50.9,0.1,39.3,0.4,6.7,NA,8.607582191143917,451.5326050113911,0.7101414232809924,11.452378965102195,66.94915751430207,0.008145839290816538
3746340,"New Bern city, North Carolina",37049,Craven,29664,68,37.1,1.8,52.9,2.7,31.7,2.2,6.7,1.9,103374,NA,36.2,0.2,66,0.1,21.4,0.5,7.1,NA,10.297689468365581,384.5220989742641,0.13348466723844077,11.546108758760461,51.614936579886866,0.0057650054300684645
3747240,"Norlina town, North Carolina",37185,Warren,1156,298,45.9,9.9,51.1,11.4,44.3,12.3,2.2,3.3,20190,NA,47.2,0.4,38.3,0.2,50.4,1,3.8,NA,7.052721049232323,398.76663841327155,2.4328632045578678,9.912942711306883,17.545337530723465,0.00861445892979714
3747880,"North Wilkesboro town, North Carolina",37193,Wilkes,4217,18,38.7,4.2,76,7.4,8.4,4.6,14.1,6.5,68525,NA,44.1,0.4,87.9,0.1,4.2,0.5,6.1,NA,8.34687925374656,246.3737462260859,0.4876575553811563,11.134953921170986,34.94190502153577,0.005677876721382471
3749800,"Oxford city, North Carolina",37077,Granville,8614,36,44.1,2.9,36.5,3.4,58.2,3.5,2.9,1.9,58503,NA,42.5,0.4,58.2,0.1,31,0.6,7.6,NA,9.061144065614055,533.3620598624377,0.5610483472888572,10.97683331395635,42.01736688191221,0.007883657804798048
3751940,"Pinehurst village, North Carolina",37125,Moore,15580,24,59.3,1.9,90.7,2.5,0.9,0.5,5.4,2.4,94191,NA,44.7,0.3,77.2,0.1,12.5,0.5,6.4,NA,9.65374331942474,348.3984723015165,0.21587608629515725,11.45307991459881,51.53531069764185,0.006266395216568154
3753040,"Plymouth town, North Carolina",37187,Washington,3599,14,43.2,14.8,30.3,7.7,69.5,7.8,0.1,0.2,12331,NA,43.5,1.9,44.9,0.1,48.2,1.8,5,NA,8.188411308079031,344.4438498947219,0.7836754419217052,9.41987169587053,11.284492850839287,0.008620426146125565
3754580,"Raeford city, North Carolina",37093,Hoke,4859,25,36.7,5.4,39.2,6.8,43.7,7,10.5,5,52571,NA,31.9,0.3,40.5,0.2,33.3,0.9,12.8,NA,8.488587934405903,439.1522547550401,0.7671913009015807,10.869919915888612,51.82669795587475,0.010716023212137996
3755000,"Raleigh city, North Carolina",37183,Wake,449477,253,33.1,0.3,53.5,0.6,28.9,0.5,11,0.4,1023811,NA,35.8,0.1,60.6,0.1,20.4,0.2,10,NA,13.015839963620282,1187.1549891253753,0.03437733043174458,13.839042497233894,461.1240800056539,0.006233099409652882
3756900,"Roanoke Rapids city, North Carolina",37083,Halifax,15107,32,36.3,1.1,55,3.5,38,3.1,5.2,1.7,52300,NA,42.7,0.4,38.7,0.1,52.8,0.5,2.7,NA,9.622913491543725,586.300580946433,0.3734639419136397,10.864751650053014,27.651581592488213,0.0057443129394562495
3757020,"Robbinsville town, North Carolina",37075,Graham,514,181,40.6,8.6,78.4,14.1,1,1.4,15.2,11.6,8607,NA,45,0.2,87.4,0.4,0.2,0.2,1.1,0.9,6.2422232654551655,427.66889549615905,5.193783520189957,9.060331104649475,11.017003890920106,0.01159727001660831
3757260,"Rockingham city, North Carolina",37153,Richmond,9094,26,37.4,4.2,59.2,5.2,33.1,4.8,3.8,1.8,45447,NA,40.2,0.4,57.6,0.1,31.2,0.5,6.2,NA,9.115370134384955,459.2289450163638,0.4603080943751125,10.724302090826434,36.55746934438901,0.008626605604888208
3757500,"Rocky Mount city, North Carolina",37065,Edgecombe,55373,54,37.8,1.6,28.8,1.6,63,1.9,3.9,0.8,54032,NA,40.3,0.8,36.5,0.1,57.2,0.7,4.3,NA,10.9218473893137,482.5365631783478,0.09517618158304306,10.897331742625349,41.158454467481995,0.008300957439034121
3758160,"Roxboro city, North Carolina",37145,Person,8273,23,40.2,2.9,34.6,4.8,49.3,5.4,13,3.3,39240,NA,43,0.4,66.5,0.1,27.1,0.7,4.1,NA,9.020752479190183,494.663794982546,0.5393738250881694,10.5774519136793,37.465617740934256,0.010099153161850716
3758860,"Salisbury city, North Carolina",37159,Rowan,33561,45,38.2,1.6,48.1,1.9,39,2,10,1.8,138940,NA,40.1,0.3,72.7,0.1,16.2,0.3,8.3,NA,10.42111995751504,582.8446482366668,0.18098072154792652,11.841797464246872,102.39080891890926,0.00872672535927829
3759280,"Sanford city, North Carolina",37105,Lee,29051,45,34.8,1.1,45.3,2.2,26.3,1.4,24.7,2.1,59805,NA,37.9,0.4,58.2,0.1,19.1,0.5,19.3,NA,10.276808185095502,416.3919112307343,0.14729888133088603,10.998844548483564,89.08399182639276,0.01638359631898461
3761200,"Shelby city, North Carolina",37045,Cleveland,20058,37,39.4,2.3,53.3,3.4,39.9,2.9,4.9,1.8,97038,NA,41.7,0.4,73.4,0.1,20.8,0.3,3.3,NA,9.906383355648154,366.46941658461844,0.18099444255698244,11.482857933347834,80.0506278814584,0.009472680676004038
3761860,"Siler City town, North Carolina",37037,Chatham,8116,38,32.7,3.2,24.5,3.6,26.9,4.6,43.5,4.6,68364,NA,46.3,0.3,71.4,0.2,12,0.5,12.6,NA,9.001592700945706,521.2587498956032,0.5781368849635712,11.132601649268397,37.2297118424435,0.00606259948889728
3762760,"Snow Hill town, North Carolina",37079,Greene,1820,379,41.8,6.4,36.8,7.8,48.3,8.6,13.4,7.3,21059,NA,40.4,0.8,46.9,0.3,35.9,0.9,14.9,NA,7.506591780070841,455.0153776659333,1.8767113702158924,9.955083301179778,30.42906900839604,0.014384534724152645
3763680,"Sparta town, North Carolina",37005,Alleghany,1726,318,45.3,6.6,80.7,8.2,2,1.9,15.1,7.4,10935,NA,49.2,0.8,87.3,0.3,2.4,0.8,9.4,NA,7.453561871643373,277.0087832757459,1.1962352868681472,9.299723933110869,17.90227954167464,0.015225080705162574
3764260,"Spruce Pine town, North Carolina",37121,Mitchell,2089,327,36.7,3.7,86.8,6.6,0.4,0.6,11.1,6.7,15155,NA,47.1,0.5,92.7,0.2,0.3,0.3,5,NA,7.644440761556566,202.78545198491676,0.7420686333193727,9.626085789491903,26.37176651241219,0.0167507018719188
3767420,"Thomasville city, North Carolina",37057,Davidson,26901,167,39.4,1.5,63.8,2.7,18,2.1,14.3,2.1,164118,NA,42.1,0.3,80.8,0.1,9.1,0.3,6.9,NA,10.199918739620157,618.8046914779941,0.23462910556378058,12.008340960276655,111.6324397529091,0.008168027874946528
3768520,"Troy town, North Carolina",37123,Montgomery,3372,68,35.5,4.9,47.3,7.3,45.6,7.3,2.3,2.7,27445,NA,42.8,0.8,63.3,0.2,18.6,0.6,15.4,NA,8.123261319121745,358.4255317243475,0.8634591511393939,10.21993928098399,21.128549563814286,0.007867826330385963
3768580,"Tryon town, North Carolina",37149,Polk,1669,229,58,6.9,82,7.6,17.7,7.6,0.3,0.5,20434,NA,52.1,0.4,88,0.1,5.2,0.5,5.8,NA,7.419979923661835,321.38821388052946,1.4288161142570788,9.924955459151368,33.075137836928775,0.01606485611416317
3770380,"Wadesboro town, North Carolina",37007,Anson,5414,42,36.5,5.5,31.7,5.3,60.5,6.4,4.9,5.6,25531,NA,40.4,0.6,44.9,0.1,48.6,0.5,3.8,NA,8.596743470174246,316.53711874169034,0.5026206886978937,10.147648679072807,18.353122246350466,0.00729470199835651
3770540,"Wake Forest town, North Carolina",37069,Franklin,38473,297,35.7,1.3,75.3,2.3,14.5,2,4.8,1.2,63866,NA,40.9,0.6,63.5,0.1,25.7,0.5,8.1,NA,10.557711975549612,913.3659803950738,0.25064473654970193,11.064542417382945,49.858861181609306,0.008637858710837129
3770780,"Walnut Cove town, North Carolina",37169,Stokes,1551,301,48.1,8,73.4,8.6,15.7,6.7,6.1,6.5,46124,NA,45.3,0.2,91.3,0.2,4,0.4,2.8,NA,7.346655163176539,245.6396878669019,1.163526809251095,10.739088700891006,39.07093937927211,0.00909691881929448
3771160,"Warsaw town, North Carolina",37061,Duplin,3141,15,29.6,6.4,25.1,10.8,52.2,13.6,19.4,12.4,59350,NA,40,0.5,51.8,0.1,24.8,0.4,21.7,NA,8.052296499538647,386.6655765255425,0.9912594295920786,10.991207400037814,27.937908153940988,0.005173906366355062
3771220,"Washington city, North Carolina",37013,Beaufort,9721,45,41.6,3.4,44.9,4.7,43.3,4,12,5.2,47316,NA,45.4,0.3,65.8,0.1,26.5,0.8,7.6,NA,9.18204377282107,415.91967015449086,0.39286005733317936,10.764603783665628,18.973720354010343,0.004316607107806942
3771500,"Waynesville town, North Carolina",37087,Haywood,9804,22,48.8,3,88.7,2.5,2.7,1.3,4.4,1.7,59854,NA,47.5,0.3,93.1,0.1,1.1,0.2,3.7,NA,9.190545744648004,430.3604559030711,0.40343201312369903,10.999663542503887,41.676615557091765,0.007659116328370579
3773660,"Whiteville city, North Carolina",37047,Columbus,5487,30,40.2,3.1,40.8,7.8,47.4,8.8,9,6.4,56589,NA,41.9,0.4,59.5,0.2,30.9,0.3,5.1,NA,8.610136937058975,383.41643161118714,0.6016526298689319,10.943569899013834,22.893965344306068,0.004427392426284504
3774220,"Williamston town, North Carolina",37117,Martin,5398,30,42.9,5.3,35,5.5,57.3,8.3,2.2,2.4,23227,NA,46,0.4,52.1,0.1,41.9,1.3,3.7,NA,8.59378379357795,487.6590211041637,0.7763683201847073,10.053070674075617,19.63594489657114,0.008498796305914843
3774440,"Wilmington city, North Carolina",37129,New Hanover,115261,54,36,0.8,72.1,0.9,18.4,0.9,6.3,0.6,219866,NA,38.7,0.3,76.9,0.1,14.2,0.3,5.4,NA,11.654954400989807,837.5592369736898,0.08469226117295676,12.300773548854183,258.36449315247893,0.014454636566513834
3774540,"Wilson city, North Carolina",37195,Wilson,49237,43,38.1,1.1,38,1.5,48.4,1.3,10.1,0.9,81379,NA,40.4,0.2,47.3,0.5,39.7,0.3,10.1,NA,10.80440065236596,604.5151065803572,0.13265274919068765,11.306872533448725,84.213151941541,0.011700652190896351
3774680,"Windsor town, North Carolina",37015,Bertie,3534,26,37.4,5.1,34.9,5.1,57.8,5.8,3,1.7,19913,NA,45,0.3,34.3,0.3,62,0.5,2.1,NA,8.170185652879642,484.5785771547839,1.1202877585633406,9.899128063758676,10.371640705753482,0.005155938310528104
3775000,"Winston-Salem city, North Carolina",37067,Forsyth,240193,94,35.3,0.3,45.9,0.6,34.7,0.5,14.9,0.5,368362,NA,38.2,0.2,57.3,0.1,26,0.2,12.6,NA,12.389198045822024,693.5058649157072,0.035771156971184805,12.816821429291734,344.92947487879127,0.012001507987308237
3775340,"Woodland town, North Carolina",37131,Northampton,1118,305,26,4.9,33,11,54.7,14.7,5.4,6.9,20426,NA,48.6,0.3,38.6,0.2,57.1,0.9,2.1,NA,7.0192966537150445,344.9043979620333,2.165461794692757,9.924563878138045,14.3234294680782,0.006959453182705715
3775960,"Yadkinville town, North Carolina",37197,Yadkin,2899,34,39.4,5.8,63.5,9.5,2.6,1.7,31.8,9.9,37825,NA,43.5,0.3,84.5,0.1,3.4,0.3,10.9,NA,7.972121128921655,394.4890125053347,1.0848272479203924,10.540725538656556,43.24197778342765,0.012050279433279451
3776000,"Yanceyville town, North Carolina",37033,Caswell,2297,323,39.6,6,39.9,6.7,50,6.8,4.6,3.1,22833,NA,45.4,0.2,61.1,0.1,33,0.8,3.8,NA,7.739359202689098,159.646730991897,0.5379030895434779,10.0359621369355,20.564033689957462,0.009038666118997904
